ip,time,method,url,status,bytes
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/9814/productModel/100x100,200,2779
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/53/productTypeMenu,500,9999999999976
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/5947/productModel/100x100,200,2527
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/9820/productModel/100x100,200,2619
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/6006/productModel/100x100,200,1905
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/58650/productModel/100x100,200,1880
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/6446/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/5665/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/16788/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/16827/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/14464/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/6000/productModel/100x100,200,1840
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/58729/productModel/100x100,200,2101
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/13009/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/6088/productModel/100x100,200,2136
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/13272/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/13124/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/13197/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/9783/productModel/100x100,200,2430
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/site/enamad,200,278
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/29044/productTypeMenu,200,11
128.65.175.224,22/Jan/2019:14:11:45 +0330,GET,/m/browse/gas-heater/%D8%A8%D8%AE%D8%A7%D8%B1%DB%8C-%DA%AF%D8%A7%D8%B2%DB%8C,200,19144
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/10136/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/9821/productModel/100x100,200,2096
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/14045/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/48628/productModel/100x100,200,2791
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/13275/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/14044/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/11082/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/48622/productModel/100x100,200,2730
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/15027/productModel/100x100,200,2374
66.249.66.194,22/Jan/2019:14:11:45 +0330,GET,"/filter/b136,b195,b261,b534,b543,b547,b618,p14077",302,0
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/11287/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/26666/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/12015/productTypeMenu,200,11
66.249.66.194,22/Jan/2019:14:11:45 +0330,GET,"/m/filter/b74,p1",200,21182
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/13223/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/1188/article/100x100,200,18578
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/static/images/prev.png,200,3032
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/1186/article/100x100,200,5839
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/static/plugins/rapid-grails-0.1/bootstrap/img/glyphicons-halflings.png,200,12625
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/1182/article/100x100,200,14489
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/1180/article/100x100,200,19126
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/8095/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/6385/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/static/images/next.png,200,3045
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/12583/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/12682/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/12348/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/12349/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/static/images/checked.png,200,1083
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/14199/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/static/images/not-checked.png,200,713
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/11678/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:45 +0330,GET,/image/1/brand,200,3924
2.181.160.157,22/Jan/2019:14:11:45 +0330,GET,/image/11899/productTypeMenu,200,11
2.181.160.157,22/Jan/2019:14:11:46 +0330,GET,/image/28998/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:46 +0330,GET,/image/2/brand,200,4842
46.224.89.237,22/Jan/2019:14:11:46 +0330,GET,/site/alexaGooleAnalitic,200,323
2.181.160.157,22/Jan/2019:14:11:46 +0330,GET,/image/28994/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:46 +0330,GET,/image/5/brand,200,2171
2.181.160.157,22/Jan/2019:14:11:46 +0330,GET,/image/28997/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:46 +0330,GET,/image/43/brand,200,2376
2.181.160.157,22/Jan/2019:14:11:46 +0330,GET,/image/28993/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:46 +0330,GET,/image/19/brand,200,2595
46.224.89.237,22/Jan/2019:14:11:46 +0330,GET,/image/113/brand,200,2287
2.181.160.157,22/Jan/2019:14:11:46 +0330,GET,/image/28995/productTypeMenu,200,11
46.224.89.237,22/Jan/2019:14:11:46 +0330,GET,/image/6/brand,200,2543
